Scenario,Agp0,Arm,Year0,N0,Index,A,M,L,U
"Vac[75,80)","[75,80)",SOC,2024,1,C_Vac,0,0,0,0
"Vac[75,80)","[75,80)",SOC,2024,1,C_All,81882745.7934763,80958155.14878494,76503167.83096574,89043848.3043946
"Vac[75,80)","[75,80)",SOC,2024,1,C_Hosp_d,37118558.183660425,36689074.82354005,33234676.481974453,43007329.36276232
"Vac[75,80)","[75,80)",SOC,2024,1,C_GP_NonPHN_d,17464774.3322082,17467153.450528122,17064330.495777458,17891957.22960796
"Vac[75,80)","[75,80)",SOC,2024,1,C_GP_PHN_d,7635797.8377298,7503433.765577562,7221819.587837231,8725277.531286955
"Vac[75,80)","[75,80)",SOC,2024,1,C_GP_d,25100572.169938,24943141.257226482,24355008.4218221,26299692.225073546
"Vac[75,80)","[75,80)",SOC,2024,1,C_Med_d,62219130.35359842,61814481.73115526,58050683.52880745,67534594.29378112
"Vac[75,80)","[75,80)",SOC,2024,1,C_VacZVL_d,0,0,0,0
"Vac[75,80)","[75,80)",SOC,2024,1,C_VacRZV_d,0,0,0,0
"Vac[75,80)","[75,80)",SOC,2024,1,C_Vac_d,0,0,0,0
"Vac[75,80)","[75,80)",SOC,2024,1,C_All_d,62219130.35359842,61814481.73115526,58050683.52880745,67534594.29378112
"Vac[75,80)","[75,80)",SOC,2024,1,N_VacZVL,0,0,0,0
"Vac[75,80)","[75,80)",SOC,2024,1,N_VacRZV,0,0,0,0
"Vac[75,80)","[75,80)",SOC,2024,1,N_VacZVL_d,0,0,0,0
"Vac[75,80)","[75,80)",SOC,2024,1,N_VacRZV_d,0,0,0,0
"Vac[75,80)","[75,80)",Vac,2024,1,Year_Life,11.841322549381342,11.841299481480437,11.841201878214529,11.841498527705056
"Vac[75,80)","[75,80)",Vac,2024,1,Year_Immunised,6.9490872897356155,6.781810567697688,6.06968962659089,8.662163920117568
"Vac[75,80)","[75,80)",Vac,2024,1,Risk_HZ,0.04543085663497599,0.046763906395375116,0.02898308025540821,0.05303848057101232
"Vac[75,80)","[75,80)",Vac,2024,1,Risk_Hosp,0.003039456914484654,0.0031437150477450645,0.00172074125339944,0.0038769115574884896
"Vac[75,80)","[75,80)",Vac,2024,1,Risk_PHN,0.004072485216699897,0.00422894536531917,0.0026019238354304153,0.004881923052173082
"Vac[75,80)","[75,80)",Vac,2024,1,Risk_Death,4.366208642171901e-7,5.009311275627762e-7,1.0981442196889408e-7,6.282130272073234e-7
"Vac[75,80)","[75,80)",Vac,2024,1,Q_Life,21830184.360211592,21830146.309964694,21829984.419041835,21830474.95627755
"Vac[75,80)","[75,80)",Vac,2024,1,Q_HZ,-13756.368622654416,-14202.928595423895,-16440.936598635028,-8774.955788490057
"Vac[75,80)","[75,80)",Vac,2024,1,Q_All,21816427.991588935,21815987.54202988,21813612.359882105,21821700.00048906
"Vac[75,80)","[75,80)",Vac,2024,1,Q_HZ_d,-10021.677507640785,-10218.232131918056,-11796.208438488238,-6813.203868636805
"Vac[75,80)","[75,80)",Vac,2024,1,Q_Life_d,17248226.73001085,17248207.200804405,17248111.199479803,17248389.413337436
"Vac[75,80)","[75,80)",Vac,2024,1,Q_All_d,17238205.052503206,17238014.032061968,17236355.45551339,17241576.2094688
"Vac[75,80)","[75,80)",Vac,2024,1,C_Hosp,25519868.327992328,26436647.451988667,14226190.63416932,32659459.862975363
"Vac[75,80)","[75,80)",Vac,2024,1,C_GP_NonPHN,8888714.737020865,9047034.306230746,5755710.411758249,10437313.544128764
"Vac[75,80)","[75,80)",Vac,2024,1,C_GP_PHN,3894827.8624380324,4012397.0135998796,2519026.7806583773,4660987.937705715
"Vac[75,80)","[75,80)",Vac,2024,1,C_GP,12783542.599458897,13202395.422711113,8274737.192416626,14815311.04880308
"Vac[75,80)","[75,80)",Vac,2024,1,C_Med,38303410.92745122,40278952.380524755,22500927.826585945,46222550.05166592
"Vac[75,80)","[75,80)",Vac,2024,1,C_VacZVL,0,0,0,0
"Vac[75,80)","[75,80)",Vac,2024,1,C_VacRZV,412011660,412011660,412011660,412011660
"Vac[75,80)","[75,80)",Vac,2024,1,C_Vac,412011660,412011660,412011660,412011660
"Vac[75,80)","[75,80)",Vac,2024,1,C_All,450315070.9274512,452290612.38052475,434512587.82658595,458234210.0516659
"Vac[75,80)","[75,80)",Vac,2024,1,C_Hosp_d,17353292.88210206,17831440.787768826,10217791.402288027,21994742.185335606
"Vac[75,80)","[75,80)",Vac,2024,1,C_GP_NonPHN_d,6560675.140588959,6586135.700270865,4528572.522426564,7633156.880309219
"Vac[75,80)","[75,80)",Vac,2024,1,C_GP_PHN_d,2880309.3858747794,2886848.1708586765,1980741.795853719,3438154.9421644644
"Vac[75,80)","[75,80)",Vac,2024,1,C_GP_d,9440984.526463738,9609854.568479385,6509314.318280283,10886223.548316866
"Vac[75,80)","[75,80)",Vac,2024,1,C_Med_d,26794277.408565797,27903399.08104162,16727105.720568312,32135207.52105938
"Vac[75,80)","[75,80)",Vac,2024,1,C_VacZVL_d,0,0,0,0
"Vac[75,80)","[75,80)",Vac,2024,1,C_VacRZV_d,412011660,412011660,412011660,412011660
"Vac[75,80)","[75,80)",Vac,2024,1,C_Vac_d,412011660,412011660,412011660,412011660
"Vac[75,80)","[75,80)",Vac,2024,1,C_All_d,438805937.4085658,439915059.0810416,428738765.7205683,444146867.52105933
"Vac[75,80)","[75,80)",Vac,2024,1,N_VacZVL,0,0,0,0
"Vac[75,80)","[75,80)",Vac,2024,1,N_VacRZV,4847196,4847196,4847196,4847196
"Vac[75,80)","[75,80)",Vac,2024,1,N_VacZVL_d,0,0,0,0
"Vac[75,80)","[75,80)",Vac,2024,1,N_VacRZV_d,4847196,4847196,4847196,4847196
"Vac[75,80)","[75,80)",Vac1,2024,1,Year_Life,11.841228241686647,11.841215164952072,11.841095656618965,11.841400521076043
"Vac[75,80)","[75,80)",Vac1,2024,1,Year_Immunised,5.596835717950693,5.496105726570171,4.799426257060143,7.217677374721321
"Vac[75,80)","[75,80)",Vac1,2024,1,Risk_HZ,0.058050877832114864,0.05905142058582559,0.042165069640974676,0.06481861749499611
"Vac[75,80)","[75,80)",Vac1,2024,1,Risk_Hosp,0.0037195329015640884,0.0037583099975593884,0.0024657354471490952,0.004593256416935309
"Vac[75,80)","[75,80)",Vac1,2024,1,Risk_PHN,0.005209299234839458,0.005365354339699432,0.0037794957967233586,0.006057054840253782
"Vac[75,80)","[75,80)",Vac1,2024,1,Risk_Death,5.869560566964193e-7,6.482313309813747e-7,2.125530766144885e-7,8.099939656336485e-7
"Vac[75,80)","[75,80)",Vac1,2024,1,Q_Life,21830025.749460373,21830004.344863012,21829805.478991643,21830310.835252278
"Vac[75,80)","[75,80)",Vac1,2024,1,Q_HZ,-17484.096908765823,-17845.27612753303,-20198.444209231304,-12721.287791309831
"Vac[75,80)","[75,80)",Vac1,2024,1,Q_All,21812541.652551606,21812195.586061545,21809682.798751175,21817572.850455556
"Vac[75,80)","[75,80)",Vac1,2024,1,Q_HZ_d,-13011.590426580366,-13135.316469877904,-14977.760943572506,-9811.269395010047
"Vac[75,80)","[75,80)",Vac1,2024,1,Q_Life_d,17248127.391146474,17248119.506133333,17247998.365180984,17248288.027405366
"Vac[75,80)","[75,80)",Vac1,2024,1,Q_All_d,17235115.800719894,17235003.18910838,17233025.35030571,17238455.738413252
"Vac[75,80)","[75,80)",Vac1,2024,1,C_Hosp,31081311.81291293,31479764.43612274,20349348.046472177,38497761.861061536
"Vac[75,80)","[75,80)",Vac1,2024,1,C_GP_NonPHN,11392730.098263288,11509635.219731437,8382938.783589223,12798274.876622634
"Vac[75,80)","[75,80)",Vac1,2024,1,C_GP_PHN,5001752.739643807,5017826.078602027,3662747.9120997,5856047.93253682
"Vac[75,80)","[75,80)",Vac1,2024,1,C_GP,16394482.837907095,16834279.438895375,12045686.695688922,18320848.503709216
"Vac[75,80)","[75,80)",Vac1,2024,1,C_Med,47475794.650820024,48639400.17318915,32395034.742161103,55929934.059666395
"Vac[75,80)","[75,80)",Vac1,2024,1,C_VacZVL,0,0,0,0
"Vac[75,80)","[75,80)",Vac1,2024,1,C_VacRZV,206005830,206005830,206005830,206005830
"Vac[75,80)","[75,80)",Vac1,2024,1,C_Vac,206005830,206005830,206005830,206005830
"Vac[75,80)","[75,80)",Vac1,2024,1,C_All,253481624.65082002,254645230.17318916,238400864.7421611,261935764.0596664
"Vac[75,80)","[75,80)",Vac1,2024,1,C_Hosp_d,21543483.19908063,21631347.80241759,14715494.552165454,26494992.53414453
"Vac[75,80)","[75,80)",Vac1,2024,1,C_GP_NonPHN_d,8590154.725982457,8728190.63725366,6629762.784696104,9586860.176799987
