Scenario,Age0,Arm,Index,M,L,U
Vac_67,67,Vac,dQ_HZ_d,0.0062292893744034915,0.004702062629425061,0.009938653476774374
Vac_67,67,Vac,dQ_Life_d,9.408341156635913e-5,5.582185408896656e-5,2.0327908178496834e-4
Vac_67,67,Vac,dQ_All_d,0.006333166440877669,0.004765704843344798,0.010134361039210348
Vac_67,67,Vac,dC_Vac_d,170,170,170
Vac_67,67,Vac,dC_VacRZV_d,170,170,170
Vac_67,67,Vac,dC_Med_d,-10.151873161559392,-18.03595670372723,-7.3609038949760315
Vac_67,67,Vac,dC_All_d,185.1282023647068,177.7939059009085,188.74332044267777
Vac_67,67,Vac,dN_VacRZV_d,2,2,2
Vac_67,67,Vac,Thres20,68.940461071578,51.37094119909042,110.56328032629955
Vac_67,67,Vac,Thres30,100.58221198473413,75.19946541581442,161.2350855223513
Vac_67,67,Vac,ICER,29177.8779351598,17521.383462614904,39607.62450182262
Vac_67,67,Vac1,N0,1,1,1
Vac_67,67,Vac1,AvtHZ,0.337452060339425,0.24360786939097545,0.5740293254787088
Vac_67,67,Vac1,AvtDeath,0.2498443246175763,0.10487073324525424,0.7710789679443693
Vac_67,67,Vac1,dQ_HZ_d,0.004896706528501128,0.0036519572302762594,0.008261152107408277
Vac_67,67,Vac1,dQ_Life_d,6.939559624363767e-5,3.985271318964756e-5,1.6522708212480803e-4
Vac_67,67,Vac1,dQ_All_d,0.004958126641210647,0.0036923392727435276,0.008415622933250641
Vac_67,67,Vac1,dC_Vac_d,85,85,85
Vac_67,67,Vac1,dC_VacRZV_d,85,85,85
Vac_67,67,Vac1,dC_Med_d,-7.74607862169778,-14.661712638110012,-5.55630157904648
Vac_67,67,Vac1,dC_All_d,102.59223102627718,96.0333763847079,105.67848701057297
Vac_67,67,Vac1,dN_VacRZV_d,1,1,1
Vac_67,67,Vac1,Thres20,106.86911208273972,79.75312383438512,182.97417130312283
Vac_67,67,Vac1,Thres30,156.311382911794,116.67651656182039,267.13040063562926
Vac_67,67,Vac1,ICER,20758.475906619882,11517.175613314363,28371.98242284188
Vac_68,68,Vac,N0,1,1,1
Vac_68,68,Vac,AvtHZ,0.4517378601646247,0.33300815149840973,0.7058539697028532
Vac_68,68,Vac,AvtDeath,0.38589081682452614,0.17613669335331472,0.8849131165279182
Vac_68,68,Vac,dQ_HZ_d,0.006330332678113826,0.004862813376851275,0.009862452590159037
Vac_68,68,Vac,dQ_Life_d,1.0262312388054085e-4,6.264566030291795e-5,2.0956453711780122e-4
Vac_68,68,Vac,dQ_All_d,0.006431714071942096,0.004925214740024719,0.010064670421774169
Vac_68,68,Vac,dC_Vac_d,170,170,170
Vac_68,68,Vac,dC_VacRZV_d,170,170,170
Vac_68,68,Vac,dC_Med_d,-10.659852499339326,-18.414153548061705,-7.742068046453735
Vac_68,68,Vac,dC_All_d,184.91184556017134,177.72567573302464,188.58557574570187
Vac_68,68,Vac,dN_VacRZV_d,2,2,2
Vac_68,68,Vac,Thres20,69.93537181956577,53.32243714499273,109.92120713579013
Vac_68,68,Vac,Thres30,101.97734760623544,77.95525788883339,160.244559244661
Vac_68,68,Vac,ICER,28792.497204595773,17607.854454498054,38333.92025518911
Vac_68,68,Vac1,N0,1,1,1
Vac_68,68,Vac1,AvtHZ,0.349595718127765,0.25677995306662726,0.5826234863322175
Vac_68,68,Vac1,AvtDeath,0.2694013839368883,0.12088184890874691,0.7727809992738702
Vac_68,68,Vac1,dQ_HZ_d,0.004979359185035452,0.00372888080247867,0.008201981970074039
Vac_68,68,Vac1,dQ_Life_d,7.566452375584731e-5,4.491525639958028e-5,1.7030338704286934e-4
Vac_68,68,Vac1,dQ_All_d,0.0050505286999973364,0.003781813622324792,0.008369294470188082
Vac_68,68,Vac1,dC_Vac_d,85,85,85
Vac_68,68,Vac1,dC_VacRZV_d,85,85,85
Vac_68,68,Vac1,dC_Med_d,-8.137047501454832,-15.036101841124296,-5.8842057614408825
Vac_68,68,Vac1,dC_All_d,102.40411126217865,95.9416851774536,105.59015927516222
Vac_68,68,Vac1,dN_VacRZV_d,1,1,1
Vac_68,68,Vac1,Thres20,109.32808008009604,82.26377929383447,182.7864570634432
Vac_68,68,Vac1,Thres30,159.77562811885727,120.04322285922069,266.47940176532404
Vac_68,68,Vac1,ICER,20320.548015402936,11463.4990526841,27614.544069652544
Vac_69,69,Vac,N0,1,1,1
Vac_69,69,Vac,AvtHZ,0.4687520227309878,0.3481910729726415,0.7133762856280284
Vac_69,69,Vac,AvtDeath,0.4147682002295972,0.20047129002981817,0.8867109320012525
Vac_69,69,Vac,dQ_HZ_d,0.006412373198797592,0.005014798204102573,0.009757831241886897
Vac_69,69,Vac,dQ_Life_d,1.1220773682296681e-4,7.011804546794843e-5,2.1622242377237197e-4
Vac_69,69,Vac,dQ_All_d,0.006522409988780176,0.005086659635708424,0.009966947510329404
Vac_69,69,Vac,dC_Vac_d,170,170,170
Vac_69,69,Vac,dC_VacRZV_d,170,170,170
Vac_69,69,Vac,dC_Med_d,-11.088074936925157,-18.767578507102783,-8.160005946669195
Vac_69,69,Vac,dC_All_d,184.69237970960532,177.61098349616725,188.3842095340739
Vac_69,69,Vac,dN_VacRZV_d,2,2,2
Vac_69,69,Vac,Thres20,70.93435797115526,55.1975275548241,109.03158633297292
Vac_69,69,Vac,Thres30,103.44183621774144,80.63082573336622,158.86632388461993
Vac_69,69,Vac,ICER,28320.585106226037,17774.41730177001,37074.56462402859
Vac_69,69,Vac1,N0,1,1,1
Vac_69,69,Vac1,AvtHZ,0.3618916687421312,0.26945949217200504,0.5907020653899813
Vac_69,69,Vac1,AvtDeath,0.29464065164115727,0.13891740046308637,0.7760851330808336
Vac_69,69,Vac1,dQ_HZ_d,0.0050884821346966706,0.0038201513753604592,0.00812122985591347
Vac_69,69,Vac1,dQ_Life_d,8.229148290794797e-5,5.049622909978346e-5,1.7542032676636226e-4
Vac_69,69,Vac1,dQ_All_d,0.0051663890794246825,0.0038787125439050385,0.008294550503803854
Vac_69,69,Vac1,dC_Vac_d,85,85,85
Vac_69,69,Vac1,dC_VacRZV_d,85,85,85
Vac_69,69,Vac1,dC_Med_d,-8.512360304440431,-15.387618158455616,-6.235196193412458
Vac_69,69,Vac1,dC_All_d,102.2629911457237,95.81297292538915,105.49235170379407
Vac_69,69,Vac1,dN_VacRZV_d,1,1,1
Vac_69,69,Vac1,Thres20,111.76681026661507,84.6502739059201,181.44908223952677
Vac_69,69,Vac1,Thres30,163.53297235247527,123.4373993449705,264.39458727756534
Vac_69,69,Vac1,ICER,19798.536601199252,11486.319045259701,26960.81089856156
Vac_70,70,Vac,N0,1,1,1
