Scenario,Age0,Age1,Arm,Year0,ICER_A,ICER25_A,ICER50_A,ICER75_A,ICER100_A,ICER_Thres_A,ICER_M,ICER25_M,ICER50_M,ICER75_M,ICER100_M,ICER_Thres_M,ICER_L,ICER25_L,ICER50_L,ICER75_L,ICER100_L,ICER_Thres_L,ICER_U,ICER25_U,ICER50_U,ICER75_U,ICER100_U,ICER_Thres_U
Overall,70,98,ReVac_RZV_1d,2024,25305.255831525257,-1348.0013395271014,-1180.2605374131167,-1012.519735299132,-844.7789331851471,20000,23737.176739453877,-1265.5519829306572,-1112.286012826582,-956.1053077180763,-798.3354488825258,20000,15928.922425974684,-2293.52735833509,-2041.3276676832263,-1785.4799438241967,-1510.943878067576,19999.999999999996,42806.341280701876,-860.9558978488002,-745.241543226981,-631.5593948469348,-496.26274238541,20000.000000000004
Overall,70,98,ReVac_RZV_2d,2024,25840.20469788819,-1183.5195213969776,-848.4360791011435,-513.3526368053094,-178.2691945094753,20000,24239.813177008604,-1114.2524751690698,-801.7421893979354,-486.434600706197,-172.8514896799488,20000,16276.597471614208,-2043.9841139099053,-1517.941100273209,-988.6745682745891,-537.7977442075186,19999.999999999996,43725.87683381203,-746.9898276385654,-498.7832359546938,-215.8337145089867,118.95348513645996,20000.000000000004
Overall,70,99,ReVac_RZV_1d,2024,25263.02294034193,-1387.0701742707183,-1269.6345519820213,-1152.1989296933245,-1034.7633074046275,20000,23704.391197084573,-1300.9648355031436,-1192.3401376259956,-1084.3034574989395,-977.4848106331276,20000,15905.70598522507,-2371.3084967982413,-2167.4624500254977,-2000.7939190138272,-1830.7063279924823,19999.999999999996,42749.0208757326,-891.7376557685866,-805.2150716462287,-726.6710976882744,-646.4897376267593,20000.000000000004
Overall,70,99,ReVac_RZV_2d,2024,25647.870213048784,-1270.8647052189378,-1036.108608892889,-801.35251256684,-566.5964162407912,20000,24066.325574943512,-1193.6532421760783,-978.865718573168,-757.5346255663413,-536.3291368895843,20000,16153.113734891895,-2167.8403303921177,-1834.372993640999,-1443.0866123868368,-1072.9146322911806,19999.999999999996,43401.987720485944,-806.0853309023016,-647.210591016467,-464.63922475268697,-264.03829563928065,20000.000000000004
Overall,70,NA,Vac,2024,24956.6936552808,-1497.0883567654582,-1497.0883567654582,-1497.0883567654582,-1497.0883567654582,NA,23421.249230503112,-1408.2870624810794,-1408.2870624810794,-1408.2870624810794,-1408.2870624810794,NA,15716.732522505448,-2576.521984521629,-2576.521984521629,-2576.521984521629,-2576.521984521629,NA,42256.31286712859,-961.7195844859747,-961.7195844859747,-961.7195844859747,-961.7195844859747,NA
Overall,75,80,ReVac_RZV_1d,2024,21368.36923039459,404.155204915339,2931.159967039142,5458.164729162945,7985.169491286748,20000,20107.118157356796,369.30998963974326,2751.126160248846,5129.415780195413,7514.203819203149,20000,13116.837056055203,-95.49687416501217,1618.1222672307147,3219.5835679639054,4802.928519741543,19999.999999999996,35886.075204923036,1046.8106358950722,5100.451688286873,9274.567512589532,13377.992223727095,20000.000000000004
Overall,75,80,ReVac_RZV_2d,2024,25968.91050824319,2249.5322934608407,6684.688996561386,11119.845699661932,15555.002402762477,20000,24501.43281187809,2126.064467762283,6313.629791828102,10517.355919448677,14696.0342178553,20000,16035.664342814747,1249.4342812931332,4075.1026894188303,6860.604779729127,9611.37885024933,19999.999999999996,43392.168086625185,3902.8652243632773,11333.733914619328,18659.472106167363,26045.211150208,20000.000000000004
Overall,75,81,ReVac_RZV_1d,2024,21261.57093053525,245.13037770486255,2647.1338951701655,5049.137412635468,7451.140930100771,20000,19993.27531569008,225.49810056928257,2487.73127958565,4751.013505116136,7026.528506230652,20000,13076.484669215475,-199.76420731250647,1474.3342500808226,3009.8084269096003,4567.636434858759,19999.999999999996,35146.38653464431,786.051966249812,4583.213684826946,8526.510368365685,12468.265472856709,20000.000000000004
Overall,75,81,ReVac_RZV_2d,2024,25833.8972984535,2045.0449052969639,6312.277337135191,10579.50976897342,14846.742200811646,20000,24333.969223657456,1934.455448859479,5951.420310774455,9970.277569580172,13981.60885924361,20000,16207.713164728862,1132.7671818143856,3888.6849092488233,6542.225715784319,9204.04413714308,19999.999999999996,42770.15552719042,3510.4699517582203,10559.861344845214,17600.068075882376,24640.274806919533,20000.000000000004
Overall,75,82,ReVac_RZV_1d,2024,21311.0676434659,101.40472504834283,2388.859389180331,4676.31405331232,6963.768717444307,20000,20045.367254535475,89.49147125449338,2248.184317487664,4405.814216189676,6553.852383365454,20000,13212.8581062281,-308.95645260511753,1325.694465258397,2807.650724468378,4283.0179460981035,19999.999999999996,35090.52496583368,579.0482737796558,4130.829310080373,7880.255998560649,11590.419988572183,20000.000000000004
