Scenario,Age0,Arm,Index,A,M,L,U
Vac_78,78,RZV_1d,Q_HZ,-0.00827114550698604,-0.008161921953233273,-0.012822187118876335,-0.004396537921870145
Vac_78,78,RZV_1d,Q_HZ_Norm,-0.0027146332275536068,-0.002529344064936725,-0.005313475674768235,-8.255582950152811e-4
Vac_78,78,RZV_1d,Q_All,8.216327462379857,8.216441801670078,8.21173532174985,8.22025876779064
Vac_78,78,RZV_1d,Q_HZ_d,-0.006354591504854062,-0.006260434556597487,-0.009932300376831208,-0.003429697005451602
Vac_78,78,RZV_1d,Q_HZ_Norm_d,-0.0021196679964461465,-0.0019769454088738305,-0.004241580056639838,-6.438760021776836e-4
Vac_78,78,RZV_1d,Q_Life_d,6.6812290854380745,6.681228143628932,6.6811669064442984,6.681292222689322
Vac_78,78,RZV_1d,Q_All_d,6.6748744939332205,6.6749710995541385,6.671283223760026,6.677853572465452
Vac_78,78,RZV_1d,C_Hosp,16.02510880191757,16.20223689150386,10.456490665868097,21.01787963974291
Vac_78,78,RZV_1d,C_GP_NonPHN,4.529771209006521,4.557737773275725,3.2261641337764333,5.781465587878707
Vac_78,78,RZV_1d,C_GP_PHN,1.9887897650049542,1.9924648639865563,1.3687510355797683,2.5942405376916042
Vac_78,78,RZV_1d,C_GP,6.518560974011475,6.555507091974132,4.586357914942181,8.3519576271328
Vac_78,78,RZV_1d,C_Med,22.543669775929043,22.71254569696682,15.073425725621323,29.01496355555017
Vac_78,78,RZV_1d,C_VacZVL,0,0,0,0
Vac_78,78,RZV_1d,C_VacRZV,85,85,85,85
Vac_78,78,RZV_1d,C_Vac,85,85,85,85
Vac_78,78,RZV_1d,C_All,107.54366977592905,107.71254569696683,100.07342572562133,114.01496355555018
Vac_78,78,RZV_1d,C_Hosp_d,11.484467477186183,11.571686798390354,7.6552657450234065,15.164032490434975
Vac_78,78,RZV_1d,C_GP_NonPHN_d,3.5087603942984757,3.5013887341459826,2.4901264130297336,4.525563300715879
Vac_78,78,RZV_1d,C_GP_PHN_d,1.5473642190990105,1.546705045347664,1.0864223731582645,2.0416673576717606
Vac_78,78,RZV_1d,C_GP_d,5.056124613397486,5.059758754863248,3.5568352321207377,6.552973310472716
Vac_78,78,RZV_1d,C_Med_d,16.54059209058367,16.581602899858815,11.394381169060175,21.316142929014212
Vac_78,78,RZV_1d,C_VacZVL_d,0,0,0,0
Vac_78,78,RZV_1d,C_VacRZV_d,85,85,85,85
Vac_78,78,RZV_1d,C_Vac_d,85,85,85,85
Vac_78,78,RZV_1d,C_All_d,101.54059209058367,101.58160289985881,96.39438116906017,106.31614292901422
Vac_78,78,RZV_1d,N_VacZVL,0,0,0,0
Vac_78,78,RZV_1d,N_VacRZV,1,1,1,1
Vac_78,78,RZV_1d,N_VacZVL_d,0,0,0,0
Vac_78,78,RZV_1d,N_VacRZV_d,1,1,1,1
Vac_78,78,RZV_2d,N0,1,1,1,1
Vac_78,78,RZV_2d,Year0,2024,2024,2024,2024
Vac_78,78,RZV_2d,Year_Life,11.043081694880714,11.043079757067742,11.0429330479848,11.043235057386985
Vac_78,78,RZV_2d,Year_Immunised,6.769378775973786,6.7444683555794915,5.302405810706762,8.387731872290543
Vac_78,78,RZV_2d,Risk_HZ,0.039928591749584304,0.04017522009616529,0.025014018465305946,0.053775848236016825
